Date,State,Deceased,Migrated_Other,Hospitalized,Recovered
30/01/2020,Kerala,0.0,0.0,0.0,1.0
02/02/2020,Kerala,0.0,0.0,0.0,1.0
03/02/2020,Kerala,0.0,0.0,0.0,1.0
02/03/2020,Delhi,0.0,0.0,0.0,1.0
02/03/2020,Telangana,0.0,0.0,0.0,1.0
03/03/2020,Rajasthan,0.0,0.0,0.0,1.0
04/03/2020,Haryana,0.0,0.0,2.0,12.0
04/03/2020,Rajasthan,0.0,0.0,0.0,1.0
04/03/2020,Uttar Pradesh,0.0,0.0,3.0,4.0
05/03/2020,Delhi,0.0,0.0,1.0,0.0
05/03/2020,Uttar Pradesh,0.0,0.0,0.0,1.0
06/03/2020,Delhi,0.0,0.0,0.0,1.0
06/03/2020,Himachal Pradesh,0.0,0.0,0.0,0.0
07/03/2020,Ladakh,0.0,0.0,2.0,0.0
07/03/2020,Tamil Nadu,0.0,0.0,0.0,1.0
08/03/2020,Kerala,0.0,0.0,0.0,5.0
09/03/2020,Delhi,0.0,0.0,1.0,0.0
09/03/2020,Jammu and Kashmir,0.0,0.0,1.0,0.0
09/03/2020,Karnataka,0.0,0.0,0.0,1.0
09/03/2020,Kerala,0.0,0.0,0.0,1.0
09/03/2020,Maharashtra,0.0,0.0,0.0,2.0
09/03/2020,Punjab,0.0,0.0,1.0,0.0
09/03/2020,Uttar Pradesh,0.0,0.0,1.0,1.0
10/03/2020,Karnataka,0.0,0.0,0.0,3.0
10/03/2020,Kerala,0.0,0.0,1.0,7.0
10/03/2020,Maharashtra,0.0,0.0,3.0,0.0
10/03/2020,Rajasthan,0.0,0.0,0.0,1.0
11/03/2020,Delhi,0.0,0.0,1.0,0.0
11/03/2020,Ladakh,0.0,0.0,1.0,0.0
11/03/2020,Maharashtra,0.0,0.0,6.0,0.0
12/03/2020,Andhra Pradesh,0.0,0.0,0.0,1.0
12/03/2020,Delhi,1.0,0.0,0.0,0.0
12/03/2020,Karnataka,0.0,0.0,0.0,1.0
12/03/2020,Kerala,0.0,0.0,0.0,2.0
12/03/2020,Maharashtra,1.0,0.0,2.0,0.0
12/03/2020,Uttar Pradesh,0.0,0.0,2.0,0.0
13/03/2020,Delhi,0.0,0.0,1.0,0.0
13/03/2020,Jammu and Kashmir,0.0,0.0,1.0,0.0
13/03/2020,Karnataka,1.0,0.0,0.0,0.0
13/03/2020,Kerala,0.0,0.0,0.0,3.0
13/03/2020,Maharashtra,0.0,0.0,3.0,0.0
13/03/2020,Uttar Pradesh,0.0,0.0,1.0,0.0
14/03/2020,Himachal Pradesh,0.0,3.0,0.0,0.0
14/03/2020,Maharashtra,0.0,0.0,9.0,0.0
14/03/2020,Rajasthan,0.0,0.0,1.0,0.0
14/03/2020,Telangana,0.0,0.0,1.0,0.0
15/03/2020,Kerala,0.0,0.0,0.0,2.0
15/03/2020,Maharashtra,0.0,0.0,6.0,0.0
15/03/2020,Telangana,0.0,0.0,1.0,0.0
15/03/2020,Uttarakhand,0.0,0.0,1.0,0.0
